detector,camouflage,gamma,n_seeds,full,full_std,no_edges,no_edges_std,rand_feats,rand_feats_std,reliance,reliance_std,attr_share
DONE,global,0.7,5,0.04409263157894737,0.011504936673751662,0.0538821052631579,0.02601002406382112,0.5077936842105263,0.038102719891864624,-0.009789473684210528,0.028440902230196387,-1.0
DONE,global,0.8,5,0.07507789473684212,0.05854883966432452,0.056206315789473694,0.010544924603952703,0.4822652631578947,0.025923473998581373,0.018871578947368427,0.05949085695249167,-0.9582635579028725
DONE,global,0.9,5,0.041191578947368426,0.029357211971453318,0.06014315789473686,0.03638204299694534,0.4901178947368421,0.03031311976548928,-0.01895157894736843,0.046749320287769125,-0.9784613690383327
DONE,global,1.0,5,0.054366315789473686,0.059207071899232494,0.03698105263157895,0.02780355544333959,0.5045094736842104,0.027123382395567434,0.017385263157894737,0.06541035895155863,-1.0
DONE,local,0.0,5,0.648661052631579,0.019303154335833787,0.5962652631578947,0.025974112831743154,0.4960463157894737,0.04804820617196327,0.052395789473684284,0.032361494166820284,1.0
DONE,local,0.1,5,0.5438273684210526,0.03506287632808944,0.4521936842105263,0.06303348342937265,0.5017684210526315,0.015145389578507525,0.09163368421052631,0.07212922659809885,0.9596503026227314
DONE,local,0.2,5,0.3636168421052631,0.033170054244980665,0.31298947368421054,0.0632331884526129,0.5061894736842104,0.04881283832759132,0.05062736842105259,0.07140510220214391,-1.0
DONE,local,0.3,5,0.22594526315789473,0.04037676466303039,0.21640842105263158,0.015961689591833278,0.49785263157894744,0.027535542380400405,0.009536842105263149,0.04341726222690438,-0.9921644542772864
DONE,local,0.4,5,0.1170063157894737,0.036607322277398685,0.13743157894736843,0.06340809214591216,0.49322947368421055,0.0521382152050158,-0.020425263157894738,0.07321667975199242,-0.982322094084278
DONE,local,0.5,5,0.11022736842105263,0.034693115700500446,0.07021894736842105,0.026605960634305956,0.516341052631579,0.022573322327172542,0.04000842105263158,0.043720583462284086,-1.0
DONE,local,0.6,5,0.055385263157894736,0.029558244862223807,0.07981473684210527,0.04909637624779267,0.5063031578947369,0.027108607254110628,-0.024429473684210536,0.057307451522467835,-1.0
