detector,group,condition,camouflage,gamma,seed,n_nodes,auc,ap
DONE,indirect,A,global,0.7,3,1000,0.1155578947368421,0.0312301637540492
DONE,indirect,A,global,0.7,4,1000,0.1165684210526315,0.0384327189274163
DONE,indirect,A,global,0.8,0,1000,0.0671157894736842,0.0284558161422982
DONE,indirect,A,global,0.8,1,1000,0.0527368421052631,0.0274261682167734
DONE,indirect,A,global,0.8,2,1000,0.1356421052631579,0.031996215976221
DONE,indirect,A,global,0.8,3,1000,0.1289473684210526,0.035108208702774
DONE,indirect,A,global,0.8,4,1000,0.0921684210526316,0.0322549625032134
DONE,indirect,A,global,0.9,0,1000,0.1502947368421052,0.0400267489468029
DONE,indirect,A,global,0.9,1,1000,0.0614315789473684,0.0297242618887864
DONE,indirect,A,global,0.9,2,1000,0.0702526315789473,0.0316399551577615
DONE,indirect,A,global,0.9,3,1000,0.0861052631578947,0.0365302230406023
DONE,indirect,A,global,0.9,4,1000,0.1254526315789473,0.0301549391400025
DONE,indirect,A,global,1.0,0,1000,0.0993263157894737,0.0365829315026509
DONE,indirect,A,global,1.0,1,1000,0.0878947368421052,0.0280534266910083
DONE,indirect,A,global,1.0,2,1000,0.126778947368421,0.0293272884019397
DONE,indirect,A,global,1.0,3,1000,0.1115157894736842,0.029510695547352
DONE,indirect,A,global,1.0,4,1000,0.1385473684210526,0.0283156570746773
GAE,direct,A,global,0.0,0,1000,0.4813894736842105,0.05443340995516735
GAE,direct,A,global,0.0,1,1000,0.4918105263157894,0.047664652242900576
GAE,direct,A,global,0.0,2,1000,0.5060210526315789,0.07410201454559505
GAE,direct,A,global,0.0,3,1000,0.5216842105263158,0.06234073325914147
GAE,direct,A,global,0.0,4,1000,0.6163368421052632,0.07323086243511712
GAE,direct,A,global,0.1,0,1000,0.48145263157894735,0.05440357055952584
GAE,direct,A,global,0.1,1,1000,0.4925473684210526,0.047711025886372535
GAE,direct,A,global,0.1,2,1000,0.5078947368421052,0.07500002672011441
GAE,direct,A,global,0.1,3,1000,0.518378947368421,0.06123448632535458
GAE,direct,A,global,0.1,4,1000,0.6162105263157894,0.07322968780964018
GAE,direct,A,global,0.2,0,1000,0.481378947368421,0.05439573416517241
GAE,direct,A,global,0.2,1,1000,0.49168421052631583,0.047613246888436905
GAE,direct,A,global,0.2,2,1000,0.5062842105263158,0.07348542305924038
GAE,direct,A,global,0.2,3,1000,0.5179578947368422,0.06129523835358265
GAE,direct,A,global,0.2,4,1000,0.6173263157894737,0.07323781461729928
GAE,direct,A,global,0.3,0,1000,0.4809368421052632,0.05422560668610604
GAE,direct,A,global,0.3,1,1000,0.4924631578947369,0.04773665633939942
GAE,direct,A,global,0.3,2,1000,0.5082842105263159,0.07432233252185098
GAE,direct,A,global,0.3,3,1000,0.5189052631578946,0.06147112564657332
GAE,direct,A,global,0.3,4,1000,0.6159368421052631,0.07340128863007125
GAE,direct,A,global,0.4,0,1000,0.4805263157894737,0.054379835513811176
GAE,direct,A,global,0.4,1,1000,0.49187368421052635,0.04761844565370785
GAE,direct,A,global,0.4,2,1000,0.5069263157894737,0.07519849234642198
GAE,direct,A,global,0.4,3,1000,0.5166105263157895,0.06063001772879937
GAE,direct,A,global,0.4,4,1000,0.6156421052631579,0.07346222333858123
GAE,direct,A,global,0.5,0,1000,0.4808,0.05438509070681883
GAE,direct,A,global,0.5,1,1000,0.49170526315789476,0.04763202861515119
GAE,direct,A,global,0.5,2,1000,0.5077894736842106,0.07362396794215742
GAE,direct,A,global,0.5,3,1000,0.5171789473684211,0.06088895140742851
GAE,direct,A,global,0.5,4,1000,0.6170421052631578,0.07313736316335318
GAE,direct,A,global,0.6,0,1000,0.4803578947368421,0.0543738247088876
GAE,direct,A,global,0.6,1,1000,0.4921894736842105,0.047671803118058464
GAE,direct,A,global,0.6,2,1000,0.5065473684210526,0.07404890119235287
GAE,direct,A,global,0.6,3,1000,0.5180842105263158,0.06119064866446333
GAE,direct,A,global,0.6,4,1000,0.6154526315789473,0.07312071272498871
GAE,direct,A,global,0.7,0,1000,0.47989473684210526,0.05447657530994552
GAE,direct,A,global,0.7,1,1000,0.49190526315789473,0.04763753718749352
GAE,direct,A,global,0.7,2,1000,0.5073052631578947,0.074116144993607
GAE,direct,A,global,0.7,3,1000,0.5180631578947369,0.061149089761258935
GAE,direct,A,global,0.7,4,1000,0.6157789473684211,0.07341176940761421
GAE,direct,A,global,0.8,0,1000,0.4798315789473684,0.05429455612193225
GAE,direct,A,global,0.8,1,1000,0.4934947368421053,0.04780974345428756
GAE,direct,A,global,0.8,2,1000,0.5072,0.07318649196676233
GAE,direct,A,global,0.8,3,1000,0.5185052631578947,0.061451454797678405
GAE,direct,A,global,0.8,4,1000,0.6158526315789472,0.07314658311414451
GAE,direct,A,global,0.9,0,1000,0.4790315789473684,0.05435120381784146
GAE,direct,A,global,0.9,1,1000,0.4933684210526315,0.04776174364528599
GAE,direct,A,global,0.9,2,1000,0.5078631578947368,0.07395860434427384
GAE,direct,A,global,0.9,3,1000,0.5187578947368421,0.061402451178602296
GAE,direct,A,global,0.9,4,1000,0.6168421052631579,0.07322808418541002
GAE,direct,A,global,1.0,0,1000,0.4808631578947369,0.05439540835750096
GAE,direct,A,global,1.0,1,1000,0.4931789473684211,0.047746959079455704
GAE,direct,A,global,1.0,2,1000,0.5074105263157895,0.0747641810353463
GAE,direct,A,global,1.0,3,1000,0.5183578947368421,0.061204526507665225
GAE,direct,A,global,1.0,4,1000,0.6156842105263157,0.07350484047546962
GCAD,indirect,A,global,0.0,0,1000,0.8689894736842105,0.3149634441814103
GCAD,indirect,A,global,0.0,1,1000,0.9006315789473684,0.3813068434606414
GCAD,indirect,A,global,0.0,2,1000,0.937157894736842,0.5769623356411621
GCAD,indirect,A,global,0.0,3,1000,0.9316842105263158,0.6552706536918793
GCAD,indirect,A,global,0.0,4,1000,0.8485473684210526,0.3720825917378369
GCAD,indirect,A,global,0.1,0,1000,0.7391157894736843,0.1186909113740592
GCAD,indirect,A,global,0.1,1,1000,0.7826947368421053,0.1489430204450313
GCAD,indirect,A,global,0.1,2,1000,0.8147789473684209,0.3153993788469926
GCAD,indirect,A,global,0.1,3,1000,0.8345894736842105,0.3757942316258346
GCAD,indirect,A,global,0.1,4,1000,0.7163999999999999,0.1807295923171179
GCAD,indirect,A,global,0.2,0,1000,0.54,0.0538982311600992
