detector,camouflage,gamma,seed,n_seeds,condition,auc
CoLA,global,0.1,2,5,no_edges,0.4170736842105263
CoLA,global,0.1,2,5,rand_feats,0.41608421052631583
CoLA,global,0.1,3,5,full,0.7292631578947367
CoLA,global,0.1,3,5,no_edges,0.3854105263157895
CoLA,global,0.1,3,5,rand_feats,0.445178947368421
CoLA,global,0.1,4,5,full,0.7243789473684211
CoLA,global,0.1,4,5,no_edges,0.5265473684210527
CoLA,global,0.1,4,5,rand_feats,0.500378947368421
CoLA,global,0.2,0,5,full,0.7487157894736842
CoLA,global,0.2,0,5,no_edges,0.5050315789473685
CoLA,global,0.2,0,5,rand_feats,0.4627157894736842
CoLA,global,0.2,1,5,full,0.7270736842105263
CoLA,global,0.2,1,5,no_edges,0.5572421052631579
CoLA,global,0.2,1,5,rand_feats,0.4920421052631579
CoLA,global,0.2,2,5,full,0.7554736842105263
CoLA,global,0.2,2,5,no_edges,0.4887578947368421
CoLA,global,0.2,2,5,rand_feats,0.529242105263158
CoLA,global,0.2,3,5,full,0.6874947368421053
CoLA,global,0.2,3,5,no_edges,0.4277052631578947
CoLA,global,0.2,3,5,rand_feats,0.46978947368421053
CoLA,global,0.2,4,5,full,0.6068842105263158
CoLA,global,0.2,4,5,no_edges,0.5922315789473684
CoLA,global,0.2,4,5,rand_feats,0.5124210526315789
CoLA,global,0.3,0,5,full,0.7319368421052632
CoLA,global,0.3,0,5,no_edges,0.6578105263157894
CoLA,global,0.3,0,5,rand_feats,0.45313684210526317
CoLA,global,0.3,1,5,full,0.7564842105263158
CoLA,global,0.3,1,5,no_edges,0.5892631578947369
CoLA,global,0.3,1,5,rand_feats,0.5199157894736842
CoLA,global,0.3,2,5,full,0.8105052631578947
CoLA,global,0.3,2,5,no_edges,0.5918947368421053
CoLA,global,0.3,2,5,rand_feats,0.4826315789473684
CoLA,global,0.3,3,5,full,0.7662526315789473
CoLA,global,0.3,3,5,no_edges,0.5357894736842106
